ticker,entry_date,exit_date,confidence,return,exit_reason,exit
ABMINTLLTD.NS,2024-11-22,2024-11-29,0.915,9.78,HOLD,TP
ABMINTLLTD.NS,2024-11-25,2024-12-02,0.853,6.97,HOLD,TP
ABMINTLLTD.NS,2024-11-26,2024-12-03,0.704,-1.73,HOLD,TP
ABMINTLLTD.NS,2024-11-27,2024-12-04,0.7,0.57,HOLD,TP
ABMINTLLTD.NS,2024-11-28,2024-12-05,0.74,0.23,HOLD,TP
ABMINTLLTD.NS,2024-12-11,2024-12-18,0.71,1.95,HOLD,TP
ABMINTLLTD.NS,2024-12-12,2024-12-19,0.616,-7.74,HOLD,TP
ABMINTLLTD.NS,2024-12-23,2024-12-31,0.702,10.27,HOLD,TP
ABMINTLLTD.NS,2024-12-26,2025-01-02,0.63,13.98,HOLD,TP
ABMINTLLTD.NS,2024-12-27,2025-01-03,0.818,3.37,HOLD,TP
ABMINTLLTD.NS,2024-12-30,2025-01-06,0.746,-5.06,HOLD,TP
ABMINTLLTD.NS,2025-01-07,2025-01-14,0.726,3.23,HOLD,TP
ABMINTLLTD.NS,2025-01-08,2025-01-15,0.648,0.28,HOLD,TP
ABMINTLLTD.NS,2025-01-17,2025-01-24,0.644,3.25,HOLD,TP
ABMINTLLTD.NS,2025-01-29,2025-02-04,0.666,8.39,HOLD,TP
ABMINTLLTD.NS,2025-01-30,2025-02-05,0.698,7.6,HOLD,TP
ABMINTLLTD.NS,2025-01-31,2025-02-06,0.64,3.89,HOLD,TP
ABMINTLLTD.NS,2025-02-01,2025-02-07,0.661,-4.7,HOLD,TP
ABMINTLLTD.NS,2025-02-13,2025-02-20,0.677,-13.27,HOLD,TP
ABMINTLLTD.NS,2025-03-03,2025-03-10,0.7,14.28,HOLD,TP
ABMINTLLTD.NS,2025-03-04,2025-03-11,0.647,13.42,HOLD,TP
ABMINTLLTD.NS,2025-03-05,2025-03-12,0.705,6.88,HOLD,TP
ABMINTLLTD.NS,2025-03-19,2025-03-26,0.612,-2.44,HOLD,TP
