ticker,entry_date,exit_date,confidence,return,exit_reason,exit,volatility,position_size
AARVEEDEN.NS,2025-01-03,2025-01-10,0.811,8.62,HOLD,TP,0.0603,0.02
AARVEEDEN.NS,2025-01-06,2025-01-13,0.807,10.37,HOLD,TP,0.081,0.02
AARVEEDEN.NS,2025-01-07,2025-01-14,0.781,6.45,HOLD,TP,0.08,0.02
AARVEEDEN.NS,2025-01-08,2025-01-15,0.819,5.91,HOLD,TP,0.079,0.02
AARVEEDEN.NS,2025-01-09,2025-01-16,0.82,5.04,HOLD,TP,0.0779,0.02
AARVEEDEN.NS,2025-01-10,2025-01-17,0.747,4.88,HOLD,TP,0.0769,0.02
AARVEEDEN.NS,2025-02-03,2025-02-10,0.573,7.05,HOLD,TP,0.1274,0.02
AARVEEDEN.NS,2025-02-04,2025-02-11,0.553,11.53,HOLD,TP,0.1933,0.0133
AARVEEDEN.NS,2025-02-05,2025-02-12,0.595,16.55,HOLD,TP,0.1517,0.02
AARVEEDEN.NS,2025-02-06,2025-02-13,0.579,20.57,HOLD,TP,0.1922,0.0141
AARVEEDEN.NS,2025-02-07,2025-02-14,0.55,15.0,HOLD,TP,0.2111,0.0111
AARVEEDEN.NS,2025-02-10,2025-02-17,0.643,8.36,HOLD,TP,0.2017,0.0142
AARVEEDEN.NS,2025-02-11,2025-02-18,0.59,0.57,HOLD,TP,0.361,0.0041
ABMINTLLTD.NS,2024-11-27,2024-12-04,0.649,0.57,HOLD,TP,,0.02
ABMINTLLTD.NS,2024-11-28,2024-12-05,0.631,0.23,HOLD,TP,0.1809,0.0174
ABMINTLLTD.NS,2024-12-10,2024-12-17,0.583,12.31,HOLD,TP,0.2951,0.006
ABMINTLLTD.NS,2024-12-11,2024-12-18,0.672,1.95,HOLD,TP,0.4883,0.0025
ABMINTLLTD.NS,2024-12-20,2024-12-30,0.664,1.77,HOLD,TP,0.5167,0.0022
ABMINTLLTD.NS,2024-12-23,2024-12-31,0.629,10.27,HOLD,TP,0.4697,0.0026
ABMINTLLTD.NS,2024-12-24,2025-01-01,0.661,10.61,HOLD,TP,0.496,0.0024
ABMINTLLTD.NS,2024-12-26,2025-01-02,0.734,13.98,HOLD,TP,0.5114,0.0025
ABMINTLLTD.NS,2024-12-27,2025-01-03,0.728,3.37,HOLD,TP,0.5705,0.002
ABMINTLLTD.NS,2024-12-30,2025-01-06,0.627,-5.06,HOLD,TP,0.6052,0.0015
ABMINTLLTD.NS,2025-01-06,2025-01-13,0.623,5.61,HOLD,TP,0.5904,0.0016
ABMINTLLTD.NS,2025-01-07,2025-01-14,0.79,3.23,HOLD,TP,0.5417,0.0024
ABMINTLLTD.NS,2025-01-08,2025-01-15,0.723,0.28,HOLD,TP,0.6396,0.0016
ABMINTLLTD.NS,2025-01-29,2025-02-04,0.597,8.39,HOLD,TP,0.4579,0.0026
ABMINTLLTD.NS,2025-01-30,2025-02-05,0.556,7.6,HOLD,TP,0.4944,0.002
ABMINTLLTD.NS,2025-02-01,2025-02-07,0.598,-4.7,HOLD,TP,0.4744,0.0024
ABMINTLLTD.NS,2025-02-13,2025-02-20,0.553,-13.27,HOLD,TP,0.4961,0.002
ABMINTLLTD.NS,2025-03-03,2025-03-10,0.584,14.28,HOLD,TP,0.5215,0.0019
ABMINTLLTD.NS,2025-03-04,2025-03-11,0.663,13.42,HOLD,TP,0.5417,0.002
ABMINTLLTD.NS,2025-03-05,2025-03-12,0.766,6.88,HOLD,TP,0.4673,0.0032
ABMINTLLTD.NS,2025-03-06,2025-03-13,0.658,0.04,HOLD,TP,0.5816,0.0018
21STCENMGM.NS,2024-11-29,2024-12-06,0.552,4.42,HOLD,TP,0.2655,0.007
21STCENMGM.NS,2024-12-02,2024-12-09,0.614,5.06,HOLD,TP,0.2135,0.0121
21STCENMGM.NS,2024-12-03,2024-12-10,0.64,2.51,HOLD,TP,0.3147,0.0058
21STCENMGM.NS,2024-12-04,2024-12-11,0.669,-1.5,HOLD,TP,0.3348,0.0054
21STCENMGM.NS,2024-12-05,2024-12-12,0.585,-5.36,HOLD,TP,0.2938,0.0061
21STCENMGM.NS,2024-12-23,2024-12-31,0.579,-1.35,HOLD,TP,0.2527,0.0082
21STCENMGM.NS,2024-12-24,2025-01-01,0.593,-0.78,HOLD,TP,0.1792,0.0166
21STCENMGM.NS,2025-02-01,2025-02-07,0.643,4.39,HOLD,TP,0.2311,0.0108
21STCENMGM.NS,2025-02-03,2025-02-10,0.578,2.07,HOLD,TP,0.2297,0.0099
21STCENMGM.NS,2025-02-24,2025-03-04,0.733,1.9,HOLD,TP,0.2354,0.0119
21STCENMGM.NS,2025-02-25,2025-03-05,0.678,1.11,HOLD,TP,0.2774,0.0079
21STCENMGM.NS,2025-03-19,2025-03-26,0.646,7.57,HOLD,TP,0.2253,0.0114
21STCENMGM.NS,2025-03-21,2025-03-28,0.64,4.99,HOLD,TP,0.2531,0.009
21STCENMGM.NS,2025-03-24,2025-04-01,0.613,4.83,HOLD,TP,0.2767,0.0072
